Scenario,LoadLevel,Battery,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,CCGT_7,CCGT_8,Nuclear_1,Nuclear_2,OCGT_1,PumpedHydro,SolarPV_1,SolarPV_2,StorageHydro,WindFarm_1,WindFarm_2
sc01,01-15 12:00:00+01:00,0.0,0.2,0.08,0.12199676090000082,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.4589832371,0.3059888248,0.0,0.7183003063,0.47886687089999996
sc01,01-15 13:00:00+01:00,0.0,0.16902490439999968,0.08,0.1,0.1,0.3,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.48628602260000003,0.3241906818,0.0,0.7598108347,0.5065405565
sc01,01-15 14:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.2563669335000004,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.49211518410000005,0.3280767894,0.0,0.7923126558,0.5282084372000001
sc01,01-15 15:00:00+01:00,0.0,0.1480480286999995,0.08,0.1,0.1,0.3,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.43721815880000003,0.2914787725,0.0,0.7803882240000001,0.520258816
sc01,01-15 16:00:00+01:00,0.0,0.2,0.08,0.15946396620000075,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.3167011004,0.2111340669,0.0,0.7934687199,0.5289791466
sc01,01-15 17:00:00+01:00,0.0,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.1281933714,0.08546224762,0.016210808480000186,0.7853661435,0.523577429
sc01,01-15 18:00:00+01:00,0.07638046200000062,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.1789960026883115,0.004066211219999999,0.0027108074800000002,0.12452147211168807,0.8159196267,0.5439464178
sc01,01-15 19:00:00+01:00,0.0,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.3177555688000001,0.0,0.0,0.0,0.8321888587,0.5547925725
sc01,01-15 20:00:00+01:00,0.0,0.2,0.2,0.25,0.16579258169999966,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.847074251,0.5647161673000001
sc01,01-15 21:00:00+01:00,0.0,0.2,0.0,0.24968972079999985,0.0,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.8912281675000001,0.5941521117
sc01,01-15 22:00:00+01:00,0.0,0.2,0.0,0.1,0.0,0.3,0.3,0.18314522850000012,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.9332590629,0.6221727086
sc01,01-15 23:00:00+01:00,0.0,0.08,0.0,0.1,0.0,0.12,0.1985864618,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.9100239229,0.6066826153
sc01,01-16 00:00:00+01:00,0.0,0.08,0.0,0.1,0.0,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.9305356372,0.6203570915000001
sc01,01-16 01:00:00+01:00,0.0,0.08,0.0,0.1,0.0,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.9182066597,0.6121377731000001
