,,Demand
sc02,01-14 13:00:00+01:00,3251.828
sc02,01-14 14:00:00+01:00,3145.937
sc02,01-14 15:00:00+01:00,3154.638
sc02,01-14 16:00:00+01:00,3352.876
sc02,01-14 17:00:00+01:00,3613.624
sc02,01-14 18:00:00+01:00,3788.933
sc02,01-14 19:00:00+01:00,3889.257
sc02,01-14 20:00:00+01:00,3775.83
sc02,01-14 21:00:00+01:00,3432.696
sc02,01-14 22:00:00+01:00,3213.334
sc02,01-14 23:00:00+01:00,2996.359
sc02,01-15 00:00:00+01:00,2840.26
sc02,01-15 01:00:00+01:00,2734.994
sc02,01-15 02:00:00+01:00,2653.678
sc02,01-15 03:00:00+01:00,2723.33
sc02,01-15 04:00:00+01:00,2962.751
sc02,01-15 05:00:00+01:00,3392.74
sc02,01-15 06:00:00+01:00,3848.994
sc02,01-15 07:00:00+01:00,4181.574
sc02,01-15 08:00:00+01:00,4387.965
sc02,01-15 09:00:00+01:00,4463.849
sc02,01-15 10:00:00+01:00,4453.996
sc02,01-15 11:00:00+01:00,4385.576
sc02,01-15 12:00:00+01:00,4254.136
sc02,01-15 13:00:00+01:00,4105.853
sc02,01-15 14:00:00+01:00,4037.08
sc02,01-15 15:00:00+01:00,4037.392
sc02,01-15 16:00:00+01:00,4179.747
sc02,01-15 17:00:00+01:00,4438.81
sc02,01-15 18:00:00+01:00,4646.541
sc02,01-15 19:00:00+01:00,4604.737
sc02,01-15 20:00:00+01:00,4227.583
sc02,01-15 21:00:00+01:00,3725.07
sc02,01-15 22:00:00+01:00,3478.577
sc02,01-15 23:00:00+01:00,2995.293
sc02,01-16 00:00:00+01:00,2845.084
sc02,01-16 01:00:00+01:00,2743.593
sc02,01-16 02:00:00+01:00,2663.576
sc02,01-16 03:00:00+01:00,2731.378
sc02,01-16 04:00:00+01:00,2969.258
sc02,01-16 05:00:00+01:00,3400.088
sc02,01-16 06:00:00+01:00,3852.593
sc02,01-16 07:00:00+01:00,4175.799
sc02,01-16 08:00:00+01:00,4369.153
sc02,01-16 09:00:00+01:00,4428.454
sc02,01-16 10:00:00+01:00,4405.116
sc02,01-16 11:00:00+01:00,4328.839
sc02,01-16 12:00:00+01:00,4192.946
sc02,01-16 13:00:00+01:00,4042.582
sc02,01-16 14:00:00+01:00,3972.938
sc02,01-16 15:00:00+01:00,3973.779
sc02,01-16 16:00:00+01:00,4114.893
sc02,01-16 17:00:00+01:00,4381.739
sc02,01-16 18:00:00+01:00,4602.654
