Scenario,LoadLevel,Battery,PumpedHydro,StorageHydro
sc02,01-14 02:00:00+01:00,0.0,0.0,0.0
sc02,01-14 03:00:00+01:00,0.0,0.0,0.0
sc02,01-14 04:00:00+01:00,57.51605980000033,0.0,0.0
sc02,01-14 05:00:00+01:00,6.825746300000546,0.0,0.0
sc02,01-14 06:00:00+01:00,0.0,0.0,0.0
sc02,01-14 07:00:00+01:00,0.0,0.0,0.0
sc02,01-14 08:00:00+01:00,0.0,0.0,0.0
sc02,01-14 09:00:00+01:00,0.0,0.0,0.0
sc02,01-14 10:00:00+01:00,0.0,0.0,0.0
sc02,01-14 11:00:00+01:00,0.0,0.0,0.0
sc02,01-14 12:00:00+01:00,0.0,0.0,0.0
sc02,01-14 13:00:00+01:00,0.0,0.0,0.0
sc02,01-14 14:00:00+01:00,100.0,0.0,0.0
sc02,01-14 15:00:00+01:00,46.18450968947285,0.0,0.0
sc02,01-14 16:00:00+01:00,0.0,0.0,0.0
sc02,01-14 17:00:00+01:00,0.0,0.0,0.0
sc02,01-14 18:00:00+01:00,0.0,0.0,0.0
sc02,01-14 19:00:00+01:00,0.0,0.0,0.0
sc02,01-14 20:00:00+01:00,0.0,0.0,0.0
sc02,01-14 21:00:00+01:00,0.0,0.0,0.0
sc02,01-14 22:00:00+01:00,0.0,0.0,0.0
sc02,01-14 23:00:00+01:00,0.0,0.0,0.0
sc02,01-15 00:00:00+01:00,0.0,0.0,0.0
sc02,01-15 01:00:00+01:00,69.07041449999998,0.0,0.0
sc02,01-15 02:00:00+01:00,100.0,0.0,0.0
sc02,01-15 03:00:00+01:00,41.45590128947371,0.0,0.0
sc02,01-15 04:00:00+01:00,0.0,0.0,0.0
sc02,01-15 05:00:00+01:00,0.0,0.0,0.0
sc02,01-15 06:00:00+01:00,0.0,0.0,0.0
sc02,01-15 07:00:00+01:00,0.0,0.0,0.0
sc02,01-15 08:00:00+01:00,0.0,0.0,0.0
sc02,01-15 09:00:00+01:00,0.0,0.0,0.0
sc02,01-15 10:00:00+01:00,0.0,0.0,0.0
sc02,01-15 11:00:00+01:00,0.0,0.0,0.0
sc02,01-15 12:00:00+01:00,0.0,0.0,0.0
sc02,01-15 13:00:00+01:00,100.0,0.0,0.0
sc02,01-15 14:00:00+01:00,95.49045319999968,0.0,0.0
sc02,01-15 15:00:00+01:00,15.035862589474027,0.0,0.0
sc02,01-15 16:00:00+01:00,0.0,0.0,0.0
sc02,01-15 17:00:00+01:00,0.0,0.0,0.0
sc02,01-15 18:00:00+01:00,0.0,0.0,0.0
sc02,01-15 19:00:00+01:00,0.0,0.0,0.0
